                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1394,                 4.2999,                 2.1785,                0.24254,                0.11572,                0.09435,                0.05856,                 1.7209,                 3.7342,                 2.0978,                 0.0802,                 0.0022,                 0.0022
                      1,                  1.839,                  2.694,                 1.9739,                0.30447,                0.32005,                0.27951,                0.11765,                 1.7573,                 2.7782,                 2.1923,               0.059455,              0.0044554,              0.0044554
                      2,                 1.6421,                 2.0689,                 1.7891,                0.54262,                0.42731,                0.44323,                0.19409,                 1.7051,                 2.2609,                 1.9978,               0.038665,              0.0066654,              0.0066654
                      3,                 1.5878,                 1.8765,                 1.6941,                0.36759,                0.50214,                0.44261,                0.21564,                 1.6734,                 2.3483,                 1.9735,                0.01783,              0.0088297,              0.0088297
                      4,                 1.5487,                 1.7784,                 1.6787,                0.43163,                0.43662,                0.44811,                   0.21,                 1.8595,                 2.1568,                 2.0632,               0.009604,               0.009604,               0.009604
                      5,                 1.5708,                 1.6682,                 1.6356,                0.46331,                0.49499,                 0.4905,                0.23872,                 1.7201,                 2.2143,                 1.9621,               0.009604,               0.009604,               0.009604
                      6,                 1.5448,                 1.5865,                 1.6288,                0.45716,                0.47336,                0.46961,                0.22201,                 1.8397,                 2.1687,                 2.0511,               0.009505,               0.009505,               0.009505
                      7,                 1.5298,                 1.4467,                 1.5775,                0.32826,                0.49598,                0.46312,                0.22773,                 1.7906,                 2.0361,                 2.0168,               0.009406,               0.009406,               0.009406
                      8,                 1.4616,                 1.3969,                 1.5588,                0.49013,                0.52601,                 0.4891,                0.24335,                 1.8696,                 1.8348,                 2.0923,               0.009307,               0.009307,               0.009307
                      9,                 1.4901,                 1.3767,                 1.5855,                0.71199,                0.49568,                0.59385,                 0.2866,                 1.7807,                 1.7496,                 2.0522,               0.009208,               0.009208,               0.009208
                     10,                 1.4801,                 1.3842,                 1.5885,                0.49824,                0.60638,                0.58595,                0.27235,                 1.8948,                 1.7461,                 2.1196,               0.009109,               0.009109,               0.009109
                     11,                 1.4798,                 1.3222,                 1.5426,                0.52031,                0.53487,                0.54449,                0.26344,                 1.8946,                 1.8852,                 2.0976,                0.00901,                0.00901,                0.00901
                     12,                 1.4716,                 1.2458,                 1.5293,                0.51984,                0.43813,                0.46488,                0.23825,                  1.905,                 1.9156,                 2.1246,               0.008911,               0.008911,               0.008911
                     13,                 1.4016,                 1.1942,                  1.511,                0.59152,                0.49395,                0.52786,                0.28017,                 1.8352,                 1.7274,                  2.065,               0.008812,               0.008812,               0.008812
                     14,                 1.3738,                 1.1733,                 1.4937,                0.56403,                0.49519,                0.56171,                0.28804,                 1.7989,                 1.7732,                 2.0545,               0.008713,               0.008713,               0.008713
                     15,                 1.3958,                 1.1673,                 1.5284,                0.54208,                0.58125,                 0.5636,                0.26703,                 1.8748,                 1.7095,                 2.1021,               0.008614,               0.008614,               0.008614
                     16,                 1.3601,                 1.0903,                  1.475,                0.50282,                0.55458,                0.53391,                0.26868,                 1.8673,                 1.8091,                 2.1241,               0.008515,               0.008515,               0.008515
                     17,                 1.3637,                 1.1188,                 1.4677,                0.51876,                0.55486,                0.57835,                0.27909,                 1.8034,                 1.7381,                 2.0024,               0.008416,               0.008416,               0.008416
                     18,                 1.3419,                 1.0791,                 1.4528,                0.52973,                0.55252,                0.53576,                0.26205,                 1.8646,                 1.7597,                 2.0373,               0.008317,               0.008317,               0.008317
                     19,                 1.3249,                 1.0399,                 1.4574,                0.54686,                0.57046,                0.56612,                0.26844,                 1.8528,                 1.8333,                 2.1021,               0.008218,               0.008218,               0.008218
